Радий Хабиров заявил, что не потерпит оскорблений себя и своих коллег  И рассказал, чего стоят его обещания:  http://ufatime.ru/news/2019/01/22/radij-habirov-zayavil-chto-ne-poterpit-oskorblenij-no-gotov-slyshat-kritiku/№%:№%:2019-01-22 20:50:00№%:№%:23967044
Куда уходят ёлки?    Пришло время прощаться с зелёными. Как это сделать правильно?    Смотрите видеосюжет: http://www.allufa.ru/news/obshchestvo/kuda-ukhodyat-yelki/№%:№%:2019-01-22 20:30:04№%:№%:23967044
"Салават Юлаев" прервал неудачную полосу    Подробности и видео лучших моментов - в нашем материале    https://news102.ru/sport/salavat-yulaev-obygral-kunlun-red-star-v-serii-bullitov/№%:№%:2019-01-22 20:10:06№%:№%:23967044
В России изменился порядок компенсации взносов за капремонт  Соответствующее решение подписал Владимир Путин   http://www.ria-bashkiria.com/news/21313.html№%:№%:2019-01-22 19:50:00№%:№%:23967044
Власти Сибая подготовились к эвакуации  Под расселение подготовлены 27 таких пунктов, количество мест не уточнили.   https://www.kommersant.ru/doc/3860404№%:№%:2019-01-22 19:30:04№%:№%:23967044
Отправили сына в армию, а теперь ему предстоит тяжелое лечение  Это еще чудо, что 23-летний парень остался жив. Три его молодых сослуживца погибли на его глазах.  https://www.ufa.kp.ru/online/news/3362252/№%:№%:2019-01-22 19:10:04№%:№%:23967044
Хабиров рассказал, что он «уникальный член» «Единой России»: «Меня дважды из неё исключали и дважды восстанавливали».  Врио главы поделился планами на избирательную кампанию-2019 https://ufa.rbc.ru/ufa/22/01/2019/5c46dc5c9a7947febb14a9d4?from=regional_newsfeed№%:№%:2019-01-22 18:50:00№%:№%:23967044
«Мой сын — герой»: второклассника из Уфы наградят за спасение пятилетнего мальчика   Папа спасенного ребенка искал семью в соцсетях. История со счастливым концом:  https://ufa1.ru/text/gorod/65865411?from=leadingstory№%:№%:2019-01-22 18:30:02№%:№%:23967044
В Башкирию идут лютые морозы    В МЧС напомнили, как жителям вести себя в такой ситуации:    http://ufacitynews.ru/news/2019/01/22/v-bashkirii-poholodaet-do-30-gradusov/№%:№%:2019-01-22 18:10:06№%:№%:23967044
❗Житель Башкирии забрал сына Эрнеста и уехал в неизвестном направлении  Их объявили в федеральный розыск  http://www.bashinform.ru/news/1263720-v-federalnyy-rozysk-obyavlen-zhitel-bashkirii-nezakonno-zabravshiy-u-eks-suprugi-rebenka/№%:№%:2019-01-22 17:50:00№%:№%:23967044
Радий Хабиров рассказал о том, простил ли он Муртазу Рахимова   Глава региона объяснил, почему он первым делом встретился с первым президентов Башкирии:   https://www.ufa.kp.ru/online/news/3362161/№%:№%:2019-01-22 17:30:02№%:№%:23967044
В Башкирии в снегу обнаружили труп  Убийца два дня прятал тело дома:  http://i-gazeta.com/news/proisshestviya/40616.html№%:№%:2019-01-22 17:10:00№%:№%:23967044
Уфимский каминг-аут  Несколько уфимок решились на сложный шаг — рассказать своим родителям про свою гомосексуальную ориентацию. Мы публикуем истории каминг-аутов.   https://likes.ru/ufa/reviews/1112-ufimskiy-kaming-aut№%:№%:2019-01-22 16:50:00№%:№%:23967044
Кому достанутся бесплатные путевки в Крым?  Радий Хабиров добился конкретного ответа:  http://i-gazeta.com/news/region102/40606.html№%:№%:2019-01-22 16:30:01№%:№%:23967044
🔥 В Башкирии врачи научились предсказывать болезни🔥  Вам достаточно лишь плюнуть в банку!  👉🏻 Подробнее + видео: https://vk.cc/8WStkT№%:№%:2019-01-22 16:10:06№%:№%:23967044
В Уфе появились внедорожники двойного назначения    На борьбу с сугробами на дорогах вышли и владельцы внедорожников, которые превратили своих полноприводных друзей в снегоуборочную технику.    http://www.allufa.ru/news/obshchestvo/v-ufe-poyavilis-vnedorozhniki-dvoynogo-naznacheniya/№%:№%:2019-01-22 15:50:00№%:№%:23967044
В Башкирии резко упадет температура воздуха  Синоптики просят подготовиться к серьезным морозам.  https://www.ufa.kp.ru/online/news/3362623/№%:№%:2019-01-22 15:30:04№%:№%:23967044
ЧП в Уфе: мужчина отравился угарным газом, газовики начали отключать котлы.  Полдома отпросились с работы, люди боятся, что будут мерзнуть.  https://mkset.ru/news/incident/22-01-2019/chp-v-ufe-v-zhk-sosny-zhilets-otravilsya-ugarnym-gazom-iz-za-obratnoy-tyagi?utm_source=vk.com&utm_medium=social&utm_campaign=communities_1mi№%:№%:2019-01-22 15:10:01№%:№%:23967044
В Уфе на железнодорожных путях обнаружена замерзшая женщина  Ее обнаружили проходящие мимо люди  http://www.ria-bashkiria.com/news/21297.html№%:№%:2019-01-22 14:50:00№%:№%:23967044
«Ситуация непростая» – Радий Хабиров рассказал, считает ли текущее положение дел в Сибае критическим  «Для вас это самый серьезный вызов», - сказал он мэру города:  http://ufatime.ru/news/2019/01/22/situaciya-neprostaya-radij-habirov-rasskazal-schitaet-li-tekushee-polozhenie-del-v-sibae-kriticheskim/№%:№%:2019-01-22 14:30:03№%:№%:23967044
«Свечи вокруг себя зажжет и лежит»: жители дома в Уфе боятся взлететь на воздух из-за соседки   Старушка превратила свою квартиру в настоящую свалку [видео]:  https://ufa1.ru/text/gorod/65864791?from=leadingstory№%:№%:2019-01-22 14:10:00№%:№%:23967044
В Башкирии сироты получили квартиры и дома, в которых невозможно жить.  Эта проблема до сих пор не решилась и, более того, администрация района пытается обвинить их самих.  https://mkset.ru/news/society/21-01-2019/bespriyutnye-v-bashkirii-vnov-otkazali-v-zhilie-sirotam-kotoryh-rasselili-v-barakah?utm_source=vk.com&utm_medium=social&utm_campaign=communities_1mi№%:№%:2019-01-22 13:50:00№%:№%:23967044
«Страшно, конечно»    Жители Сибая высказались об экологической ситуации в городе. Фото с места событий.    https://gorobzor.ru/novosti/obschestvo/21787-strashno-konechno-zhiteli-sibaya-ob-ekologicheskoy-situacii-v-gorode№%:№%:2019-01-22 13:30:04№%:№%:23967044
Житель Башкирии жестоко расправился с братом  Он отказался сообщать, куда спрятал труп:  http://i-gazeta.com/news/proisshestviya/40611.html№%:№%:2019-01-22 13:10:06№%:№%:23967044
В Уфе снизилась средняя стоимость аренды квартиры    Эксперты рассказали, сколько стоит найм жилья в столице республики    https://news102.ru/money/v-ufe-snizilas-srednyaya-stoimost-arendy-kvartiry/№%:№%:2019-01-22 12:50:00№%:№%:23967044
Известный уфимский юрист прокомментировал громкое дело о новой финансовой пирамиде     Речь идет о десятках миллионов рублей. Самое интересное, что хозяева фирмы вроде бы и не виноваты😨😨😨   Подробнее: https://proural.info/society/izvestnyy-ufimskiy-yurist-prokommentiroval-gromkoe-delo-o-novoy-finansovoy-piramide/№%:№%:2019-01-22 12:30:03№%:№%:23967044
НОЧЬ КРАСОТЫ в "ДЕРМА ЦЕНТРЕ ФАРМЛЕНД"!  В «Фармленд» приходят самые красивые покупатели! Чтобы стать еще красивее! А выбор активной косметики там настолько велик, что дня может не хватить, поэтому они устраивают НОЧЬ КРАСОТЫ!  25 января "Дерма Центр Фармленд" будет ждать вас с 22:00 до 6:00 (26 января) на ночную распродажу активной косметики по адресу: г. Уфа, ул. Ленина, 21.    Для вас:  Скидка 25% на всю активную косметику  Бесплатное исследование состояния кожи и волос  Комплимент от компании каждому гостю  Эксклюзивные подарки при покупке  Подробности об акции: https://vk.com/farmlend102?w=wall-70314863_4141    ПОДАРИТЕ ПРЕОБРАЖЕНИЕ СЕБЕ И СВОИМ БЛИЗКИМ!№%:№%:2019-01-22 11:30:01№%:№%:23967044
У одного из обвиняемых в изнасиловании 23-летнего дознавателя резко ухудшилось здоровье    Адвокат Павла Яромчука прокомментировал ситуацию:    https://gorobzor.ru/novosti/obschestvo/21760-u-obvinyaemogo-v-iznasilovanii-ufimskoy-doznavatelnicy-obnaruzhili-vnutricherepnoe-obrazovanie№%:№%:2019-01-22 11:10:01№%:№%:23967044
В Уфе магазины "Красное и Белое" и "Магнит" заставили поменять фасады зданий    Мэр города остался ими недоволен    http://www.bashinform.ru/news/1263559-v-ufe-k-1-sentyabrya-provedut-rekonstruktsiyu-fasadov-magazinov-krasnoe-i-beloe-i-magnit-/№%:№%:2019-01-22 10:50:00№%:№%:23967044
Радий Хабиров объяснил, почему он кричит на чиновников   Он уверен, что такой метод управления лучше:  https://www.ufa.kp.ru/online/news/3361931/№%:№%:2019-01-22 10:30:03№%:№%:23967044
Башкирия из бюджета РФ получила 38 млн рублей на прививки от бешенства  В республике началась бесплатная вакцинация животных: https://ufa.rbc.ru/ufa/21/01/2019/5c44ba9f9a794766dfdbe39d?from=regional_newsfeed№%:№%:2019-01-22 10:10:00№%:№%:23967044
«У вас неразбериха в голове»   Радий Хабиров обрушил гнев еще на одного чиновника:   http://i-gazeta.com/news/region102/40607.html№%:№%:2019-01-22 09:50:00№%:№%:23967044
Почему частные перевозчики отказываются от современной и удобной системы оплаты?    Наша съемочная группа проехалась по самым популярным маршрутам.    http://www.allufa.ru/news/obshchestvo/pochemu-chastnye-perevozchiki-otkazyvayutsya-ot-sovremennoy-i-udobnoy-sistemy-oplaty/№%:№%:2019-01-22 09:30:03№%:№%:23967044
Серия убийств, терроризм и другие преступления.  Бывший башкирский сенатор заявил об обстоятельствах, которые подтверждают его невиновность в совершении большинства преступлений.  https://mkset.ru/news/society/20-01-2019/eks-senator-iz-bashkirii-igor-izmestiev-zayavil-o-novyh-obstoyatelstvah-v-ego-dele?utm_source=vk.com&utm_medium=social&utm_campaign=communities_1mi№%:№%:2019-01-22 09:10:00№%:№%:23967044
Сегодня в мэрии города объяснили, до какого срока уфимцы должны заплатить по новой строке в платежках за услуги ЖКХ   Это подтвердила глава ЕРКЦ:  http://ufatime.ru/news/2019/01/22/segodnya-v-merii-goroda-obyasnili-do-kakogo-srok-ufimcy-dolzhny-zaplatit-po-novoj-stroke-v-platezhkah-za-uslugi-zhkh/№%:№%:2019-01-22 08:50:00№%:№%:23967044
Дети бегали с тряпками: уфимская теледива Евгения Машко устроила потоп   Все произошло по нелепой причине:  https://ufa1.ru/text/relations/65860031?from=newscol_in№%:№%:2019-01-22 08:30:03№%:№%:23967044
В Башкирии завершены поиски 38-летнего мужчины    Его пытались найти почти месяц:    https://gorobzor.ru/novosti/obschestvo/21762-v-bashkirii-zavershilis-poiski-propavshego-bez-vesti-38-letnego-alekseya-belokonya№%:№%:2019-01-22 08:10:00№%:№%:23967044
Главам уфимских районов предложили пройтись по городу пешком, а не разъезжать на машинах    Они должны сами оценить свою работу по уборке снега. Как думаете, какую оценку они себе поставят?    Подробнее: https://proural.info/society/glavam-ufimskikh-rayonov-predlozhili-proytis-po-gorodu-peshkom-a-ne-razezzhat-na-mashinakh/№%:№%:2019-01-22 07:50:00№%:№%:23967044
Муртаза Рахимов примирился с бывшим оппонентом.   Один из «врагов» сообщил, что они «помирились, обнялись, попили чай».  https://www.kommersant.ru/doc/3859699№%:№%:2019-01-22 07:30:01№%:№%:23967044
«Юлаевцы» победили в «Матче Звезд КХЛ»: как это было    Подробный материал из Казани, а также фото и видео лучших моментов праздника    https://news102.ru/sport/yulaevtsy-pobedili-v-matche-zvezd-khl-kak-eto-bylo/№%:№%:2019-01-22 07:10:00№%:№%:23967044
Люди-призраки в Башкирии.  Узнали у юриста о главных проблемах лиц без гражданства и о том, как их можно решить.  https://mkset.ru/news/society/21-01-2019/lyudi-prizraki-kak-v-bashkirii-zhivut-litsa-bez-grazhdanstva?utm_source=vk.com&utm_medium=social&utm_campaign=communities_1mi№%:№%:2019-01-22 06:50:00№%:№%:23967044
🔥 Мыши в бургерах! 🔥    В Уфе в одном из фастфудов развелись грызуны!   👉🏻 Видео: https://vk.cc/8WN18G№%:№%:2019-01-22 06:30:01№%:№%:23967044
В Башкирии посчитали, сколько детей родилось в прошлом году    Названы города и районы-лидеры по рождаемости:    http://ufacitynews.ru/news/2019/01/22/v-bashkirii-prodolzhaet-snizhatsya-rozhdaemost-naseleniya/№%:№%:2019-01-22 06:10:00№%:№%:23967044
Уфимцы начали получать квитанции с новой строкой оплаты  В мэрии рассказали, куда обращаться с вопросами по этому поводу  http://ufatime.ru/news/2019/01/22/ufimcy-nachali-poluchat-kvitancii-s-novoj-strokoj-oplaty-v-merii-rasskazali-kuda-obrashatsya-s-voprosami-po-etomu-povodu/№%:№%:2019-01-22 05:50:00№%:№%:23967044
Есть один сладкий продукт, от которого худеют  Его изготовили в Уфе!  http://i-gazeta.com/news/nauka102/40600.html№%:№%:2019-01-22 05:30:00№%:№%:23967044
Крещенские морозы в Башкирии все таки придут ❄  В республике похолодает до минус 30.   прогноз: http://www.bashinform.ru/news/1263356-v-bashkiriyu-na-etoy-nedele-pridut-zapozdalye-kreshchenskie-morozy/№%:№%:2019-01-22 05:10:00№%:№%:23967044
100 дней на посту Главы Башкирии: что успел сделать за это время Радий Хабиров    Самые громкие нововведения и указы нового руководителя республики.   Подробнее: https://proural.info/society/100-dney-na-postu-glavy-bashkirii-chto-uspel-sdelat-za-eto-vremya-radiy-khabirov/№%:№%:2019-01-21 20:50:00№%:№%:23967044
В Уфе существенно выросла стоимость жилья на вторичном рынке   Специалисты рассказали, в каких районах рост оказался максимальным    Подробности: https://news102.ru/money/v-bashkirii-suschestvenno-vyrosla-stoimost-vtorichnogo-zhilya/№%:№%:2019-01-21 20:30:03№%:№%:23967044
Правительство Башкирии отказало в проведении митинга в Сибае.   В начале прошлой недели против высказался врио главы республики Радий Хабиров, он обещал задействовать «все полномочия и возможности».  https://www.kommersant.ru/doc/3859746№%:№%:2019-01-21 20:10:06№%:№%:23967044
В Башкирии нашелся пропавший без вести 32-летний Сергей Сентябов№%:№%:2019-01-21 19:50:00№%:№%:23967044
В Уфе 18 детей заражены стригущим лишаем    Эпидемия или единичные случаи?  https://ufa.rbc.ru/ufa/21/01/2019/5c4575d49a79478fcd1e8642?from=main№%:№%:2019-01-21 19:30:02№%:№%:23967044
В Уфе в бане нашли тела троих мужчин   Трагедия произошла сегодня ночью   http://www.bashinform.ru/news/1263163-v-ufe-v-bane-nashli-tela-troikh-muzhchin/№%:№%:2019-01-21 19:10:04№%:№%:23967044
Нам прислали фотографию, сделанную на одной из улиц города Учалы.  Авторы плаката использовали знаменитое изображение вождя мирового пролетариата Владимира Ленина с его характерным жестом. Баннер вызвал неоднозначную реакцию у горожан.  https://mkset.ru/news/society/21-01-2019/v-bashkirii-genii-marketinga-nadeli-tyubeteyku-na-lenina?utm_source=vk.com&utm_medium=social&utm_campaign=communities_1mi№%:№%:2019-01-21 18:50:00№%:№%:23967044
В Башкирии День инженерных войск отмечает единственная в ЦВО бригада  Сегодня в России отмечают День инженерных войск. В Башкирии расположена единственная на 29 регионов Центрального военного округа инженерная бригада [ Видео ]  https://gtrk.tv/novosti/125306-bashkirii-den-inzhenernyh-voysk-otmechaet-edinstvennaya-cvo-brigada№%:№%:2019-01-21 18:30:05№%:№%:23967044
Осужденные приняли участие в празднике Крещения    Помогает ли вера встать на путь исправления?    http://www.allufa.ru/news/obshchestvo/osuzhdennye-prinyali-uchastie-v-prazdnike-kreshcheniya/№%:№%:2019-01-21 18:10:04№%:№%:23967044
«А скотине мне что, тоже повязки надеть, чтобы этим не дышали?!»  Местные жители на встрече набросились на власти за работу по тушению карьера. Нервы попросту не выдержали. Обстановка накаляется.  https://www.ufa.kp.ru/online/news/3361500/№%:№%:2019-01-21 17:50:00№%:№%:23967044
Жителям Уфы предъявили за мусор на 11 рублей с человека больше, чем обещали   В квитанции за ЖКУ появилась новая строка  http://www.ufa.aif.ru/society/jkh/zhitelyam_ufy_predyavili_za_musor_na_11_rubley_s_cheloveka_bolshe_chem_obeshchali№%:№%:2019-01-21 17:30:02№%:№%:23967044
В уфимском колледже умерла молодая студентка  Ей было всего 17.   https://www.ufa.kp.ru/daily/26931/3981962/№%:№%:2019-01-21 17:10:12№%:№%:23967044
В Башкирии объявлено штормовое предупреждение    Жителей региона просят без надобности не выходить на улицу:    http://ufacitynews.ru/news/2019/01/21/v-bashkirii-obyavleno-shtormovoe1-preduprezhdenie/№%:№%:2019-01-21 16:50:00№%:№%:23967044
🔥 В Башкирии предлагают штрафовать пациентов поликлиник 🔥  В Курултае разъяснили, как это будет реализовано.  Подробнее + видео: https://vk.cc/8WDDwj№%:№%:2019-01-21 16:30:05№%:№%:23967044
Мэр Сибая прокомментировал эффективность мер, применяемых для борьбы со смогом   И какую динамику показывают исследования:  http://ufatime.ru/news/2019/01/21/mer-sibaya-prokommentiroval-effektivnost-mer-primenyaemyh-dlya-borby-so-smogom/№%:№%:2019-01-21 16:10:06№%:№%:23967044
Курултай Башкирии придумал, как пополнить бюджет на 32 млрд рублей 💰  Задумка может понравиться и другим регионам страны   http://www.ria-bashkiria.com/news/21280.html№%:№%:2019-01-21 15:50:00№%:№%:23967044
В Башкирии ожидается серьезное похолодание    Синоптики предоставили очередной прогноз:    https://gorobzor.ru/novosti/obschestvo/21746-v-bashkirii-poholodaet-do-25№%:№%:2019-01-21 15:30:06№%:№%:23967044
Новые подробности резонансного дела об изнасиловании дознавателя из Уфы  Ситуацию прокомментировали в Адвокатской палате   http://www.ria-bashkiria.com/news/21286.html№%:№%:2019-01-21 15:10:05№%:№%:23967044
Депутат Курултая попросил списать долги населения Башкирии за газ.   Он решил это сделать по примеру Чечни.  https://www.kommersant.ru/doc/3859686№%:№%:2019-01-21 14:50:00№%:№%:23967044
Запись на прием с сотого раза: жители Сибая сообщают об очередях в детской поликлинике   "Если до меня будет долетать, что там очереди, то я буду считать, что вы не справляетесь с задачей", - ранее сообщал Хабиров:  https://ufa1.ru/text/gorod/65860931?from=newscol_in№%:№%:2019-01-21 14:30:03№%:№%:23967044
В Башкирии выросла средняя зарплата   Вы столько зарабатываете? 😆  http://www.bashinform.ru/news/1263022-srednyaya-zarplata-v-bashkirii-prevysila-33-tysyachi-rubley/№%:№%:2019-01-21 14:10:03№%:№%:23967044
В Сибае горожанам бесплатно выдают защитные маски и активированный уголь  Дети получают молоко. Борьба с тлением продолжается: https://ufa.rbc.ru/ufa/21/01/2019/5c44b5089a79476570da1874?from=regional_newsfeed№%:№%:2019-01-21 13:50:00№%:№%:23967044
Набережная Белой станет ближе к уфимцам  Как архитекторы и градостроители собираются исправлять бетонное безобразие ценой в несколько миллиардов?   Несколько групп архитекторов разработали свои проекты. Посмотрите, какой проект победил в результате   https://likes.ru/ufa/reviews/1111-naberezhnaya-beloy-stanet-blizhe-k-ufimtsam№%:№%:2019-01-21 13:30:02№%:№%:23967044
Тройное убийство в Уфе   Новые подробности жестокой расправы:  http://i-gazeta.com/news/proisshestviya/40597.html№%:№%:2019-01-21 13:10:03№%:№%:23967044
Где в Башкирии можно хорошо заработать?  Топ-10 самых высокооплачиваемых работ:  http://i-gazeta.com/news/region102/40596.html№%:№%:2019-01-21 12:50:00№%:№%:23967044
«Схватил Тимурку за руку и стал кричать и звать на помощь».  Уфимцы просят помочь найти родителей мальчика по имени Дима, который помог спасти из воды их сына.  https://mkset.ru/news/incident/21-01-2019/v-ufe-ischut-hrabrogo-malchugana-spasshego-druga-iz-ledyanoy-vody?utm_source=vk.com&utm_medium=social&utm_campaign=communities_1mi№%:№%:2019-01-21 12:30:03№%:№%:23967044
В Национальном музее открылась выставка со снимками Башкирии, сделанными фотографом Николая II  Ее организовало отделение Русского географического общества в Республике Башкортостан  https://gtrk.tv/novosti/125259-nacmuzee-otkrylas-vystavka-so-snimkami-bashkirii-sdelannymi-fotografom-nikolaya-ii№%:№%:2019-01-21 12:10:01№%:№%:23967044
Уфимец необычно разыграл собственного брата    Такое вряд ли кому-нибудь бы понравилось:    Видео: http://ufacitynews.ru/news/2019/01/21/ufimec-neobychno-razygral-sobstvennogo-brata/№%:№%:2019-01-21 11:50:00№%:№%:23967044
«Мы обошли кучу врачей, и они говорили, что все хорошо»    Молодая мама из Башкирии пытается спасти свою маленькую трехлетнюю дочку.    https://www.ufa.kp.ru/online/news/3360847/№%:№%:2019-01-21 11:30:03№%:№%:23967044
В Норвегии арестовали признавшегося в теракте россиянина.  Как оказалось, он получил свой паспорт в Башкирии.  https://mkset.ru/news/society/21-01-2019/terakt-v-norvegii-napadavshiy-terrorist-poluchil-pasport-v-bashkirii?utm_source=vk.com&utm_medium=social&utm_campaign=communities_1mi№%:№%:2019-01-21 11:10:01№%:№%:23967044
🔥 Житель Башкирии увлекается съемкой диких животных 🔥    У него в кадре были лисы, куницы, лоси и даже енотовидные собаки. Эти животные такие милые! 😊   👉🏻 Видео: https://bash.news/news/88356_zhitel_bashkirii_snimaet_videoroliki_s_dikimi_zhivotnymi№%:№%:2019-01-21 10:50:00№%:№%:23967044
Жительница Башкирии решила отбелить зубы чистящим средством для унитаза 😨😨😨   Она заявила медикам, что не знала, что это опасно для здоровья.    Подробнее: https://vk.cc/8WxdVP№%:№%:2019-01-21 10:30:05№%:№%:23967044
Глава администрации Сибая сегодня рассказал о настроении Радия Хабирова во время визита в его город и прокомментировал ситуацию с путевками в Крым  Ранее Хабиров предупредил мэра, что от его действий зависит, сохранит ли он вообще свое кресло:  http://ufatime.ru/news/2019/01/21/glava-administracii-sibaya-segodnya-rasskazal-o-nastroenii-radiya-habirova-vo-vremya-vizita-v-ego-gorod-i-prokommentiroval-situaciyu-s-putevkami-v-krym/№%:№%:2019-01-21 10:10:04№%:№%:23967044
Жители Башкирии смогут наблюдать соединение двух планет   Во сколько начинать любоваться небом?   http://www.bashinform.ru/news/1263140-ufimtsy-uvidyat-soedinenie-venery-i-yupitera/№%:№%:2019-01-21 09:50:00№%:№%:23967044
За жилье в Башкирии покупатели сильно переплачивают    Оказывается, риелторы прибегают к одной уловке:  http://i-gazeta.com/news/column/40592.html№%:№%:2019-01-21 09:30:03№%:№%:23967044
Москвичка на дорогом внедорожнике протаранила "шестерку"   Подробности серьезной аварии:  http://i-gazeta.com/news/proisshestviya/40593.html№%:№%:2019-01-21 09:10:01№%:№%:23967044
«Проще эвакуировать жителей».  Эксперты в сфере медицины и геологии поделились мнением о ситуации со смогом и запахом серы в Сибае.  https://mkset.ru/news/society/21-01-2019/prosche-evakuirovat-zhiteley-sibaya-ekspert-ob-ekologicheskoy-obstanovke-v-bashkirii?utm_source=vk.com&utm_medium=social&utm_campaign=communities_1mi№%:№%:2019-01-21 08:50:00№%:№%:23967044
Жители Стерлитамака устроили флешмоб по обливанию ледяной водой  Как отметили организаторы, флешмоб направлен на приобщение жителей города к здоровому образу жизни.  https://gtrk.tv/novosti/125242-zhiteli-bashkirii-ustroili-fleshmob-oblivaniyu-ledyanoy-vodoy№%:№%:2019-01-21 08:30:03№%:№%:23967044
Агент Земфиры прокомментировала информацию о выступлении певицы на «Сердце Евразии» в Уфе  Похоже, никакого согласия на выступление певица не давала. Подробности:  https://ufa1.ru/text/gorod/65859061?from=newscol_in№%:№%:2019-01-21 08:10:00№%:№%:23967044
В Башкирии завершены поиски 32-летнего Сергея Сентябова  Об этом сообщили волонтёры:  https://gorobzor.ru/novosti/obschestvo/21707-v-bashkirii-zaversheny-poiski-propavshego-bez-vesti-32-letnego-sergeya-sentyabova№%:№%:2019-01-21 07:50:00№%:№%:23967044
Жители Башкирии отреагировали на заявление Радия Хабирова о том, что его задело их недоверие  "Как верить?!", - недоумевают одни. А вот другие называют Хабирова буквально "глотком свежего воздуха":  http://ufatime.ru/news/2019/01/21/zhiteli-bashkirii-otreagirovali-na-zayavlenie-radiya-habirova-o-tom-chto-ego-zadelo-ih-nedoverie/№%:№%:2019-01-21 07:30:02№%:№%:23967044
В Уфе над школьниками одного из образовательных учреждений нависла опасность    В прямом смысле этого слова:    http://ufacitynews.ru/news/2019/01/21/v-ufe-nad-shkolnikami-odnogo-iz-obrazovatelnyh-uchrezhdenij-bukvalno-navisla-opasnost/№%:№%:2019-01-21 07:10:00№%:№%:23967044
Жители Ишимбайского района уличили администрацию во лжи    Они приложили все необходимые доказательства. Интересно, почитайте.   Подробнее: https://vk.cc/8Vpvos№%:№%:2019-01-21 06:50:00№%:№%:23967044
«Застряли и едва не задохнулись»: жильцы уфимского жилого дома жалуются на постоянно застревающий лифт    Виной всему – сами жильцы и вандалы,— уверяет управляющая компания.    Подробнее: https://vk.cc/8VQFGp№%:№%:2019-01-21 06:30:01№%:№%:23967044
Мэрия Уфы изымает земельные участки  А также жилые и нежилые помещения  http://ufatime.ru/news/2019/01/21/meriya-ufy-izymaet-zemelnye-uchastki-zhilye-i-nezhilye-pomesheniya/№%:№%:2019-01-21 06:10:00№%:№%:23967044
Тайм-клубы Уфы    Где можно бесплатно спеть в караоке, поиграть с котиками и совами:    http://ufacitynews.ru/news/2019/01/21/karaoke-koshki-i-sovy-7-tajm-klubov-ufy/№%:№%:2019-01-21 05:50:00№%:№%:23967044
В речном порту и судоремонтном заводе Уфы сменились директора.  Комитет кредиторов досрочно прекратил полномочия.  https://www.kommersant.ru/doc/3855504№%:№%:2019-01-21 05:30:00№%:№%:23967044
В Башкирии ожидается похолодание  Но и это ещё не всё. Синоптики предоставили очередной прогноз:  https://gorobzor.ru/novosti/obschestvo/21705-v-bashkirii-prognoziruyut-gololedicu-i-snezhnye-zanosy№%:№%:2019-01-21 05:10:00№%:№%:23967044
Как в Башкирии без взяток и препятствий создать бизнес  Реальная история:  http://i-gazeta.com/news/region102/40536.html№%:№%:2019-01-20 20:30:02№%:№%:23967044
Массовая авария на трассе в Башкирии  Легковушку разорвало на части. Жуткие фото с места ДТП:  http://i-gazeta.com/news/proisshestviya/40591.html№%:№%:2019-01-20 19:10:03№%:№%:23967044
В Уфе прекращены поиски 35-летней Регины Зиянгировой  Женщина пообещала мужу больше так не делать.  https://www.ufa.kp.ru/online/news/3358227/№%:№%:2019-01-20 18:50:00№%:№%:23967044
Врач из Уфы предложил наказывать пациентов  Высказались и другие башкирские медики.  https://www.ufa.kp.ru/daily/26931.7/3981118/№%:№%:2019-01-20 18:30:03№%:№%:23967044
Сотрудникам госпредприятий установили надбавки за научные степени и звания.  Правительство Башкирии установило повышающие коэффициенты к окладам.  https://www.kommersant.ru/doc/3855104№%:№%:2019-01-20 18:10:05№%:№%:23967044
В Башкирии банкротятся несколько мясных предприятий.  Сбербанк направил в суд Башкирии иск.  https://www.kommersant.ru/doc/3855602№%:№%:2019-01-20 17:50:00№%:№%:23967044
Нападающий "Салавата Юлаева" вывел свой дивизион в финал турнира  Метсола отразил весьма необычный буллит  Подробности: https://news102.ru/sport/divizion-chernysheva-stal-pervym-finalistom-matcha-zvezd-khl/№%:№%:2019-01-20 17:30:03№%:№%:23967044
Приятный вечер с женщиной окончился для мужчины не так, как планировалось  К тому моменту, когда его доставили в больницу, он уже успел потерять много крови.  https://www.ufa.kp.ru/online/news/3360108/№%:№%:2019-01-20 17:10:01№%:№%:23967044
"Ощущение, что находишься на Марсе, сложно представить, что такое есть на нашей планете!"  Известная уроженка Башкирии Ляйсан Утяшева описала свои ощущения от отдыха. Место ооочень напоминает Сибайский карьер:  https://ufa1.ru/text/entertainment/65857241?from=newscol_in№%:№%:2019-01-20 16:50:00№%:№%:23967044
В России меняется система военной подготовки в вузах  Закон вступит в силу уже в конце января:  http://i-gazeta.com/news/region102/40589.html№%:№%:2019-01-20 16:30:03№%:№%:23967044
В Уфе водителей просят сегодня не выезжать на дороги  С таким обращением выступили в ГИБДД   http://ufatime.ru/news/2019/01/20/iz-za-pogody-inspektory-gibdd-ufy-obratilis-k-voditelyam/№%:№%:2019-01-20 15:50:00№%:№%:23967044
Крещенские морозы хоть и с опозданием, но все же приходят в Башкирию  Синоптики прогнозируют ухудшение погоды.  https://www.ufa.kp.ru/online/news/3360241/№%:№%:2019-01-20 15:30:03№%:№%:23967044
В Башкирии BMW протаранил остановку   Что случилось, никто так и не понял   http://ufatime.ru/news/2019/01/20/v-bashkirii-voditel-bmw-protaranil-ostanovku/№%:№%:2019-01-20 15:10:04№%:№%:23967044
